dataset_id,dataset_version,version_part,service_name,status_message,number_of_files,total_size,first_file,error,error_message
antarctic_omi_si_extent,202411,default,original-files,000 + The request was successful.,1,0.03609180450439453,ANTARCTIC_OMI_SI_extent.nc,False,
antarctic_omi_si_extent_obs,202511,default,original-files,000 + The request was successful.,1,0.06257247924804688,ANTARCTIC_OMI_SI_extent_19790115_P20250505_R19792024.nc,False,
cmems_mod_arc_bgc_anfc_ecosmo_P1D-m,202105,default,original-files,000 + The request was successful.,1,525.2661628723145,20190322_dm-metno-MODEL-topaz5_ecosmo-ARC-b20190319-fv02.0.nc,False,
cmems_mod_arc_bgc_anfc_ecosmo_P1D-m,202105,default,wmts,000 + The request was successful.,1,525.2661628723145,20190322_dm-metno-MODEL-topaz5_ecosmo-ARC-b20190319-fv02.0.nc,False,
cmems_mod_arc_bgc_anfc_ecosmo_P1M-m,202211,default,original-files,000 + The request was successful.,1,481.8408317565918,201901_mm-metno-MODEL-topaz5_ecosmo-ARC-fv02.0.nc,False,
cmems_mod_arc_bgc_anfc_ecosmo_P1M-m,202211,default,wmts,000 + The request was successful.,1,481.8408317565918,201901_mm-metno-MODEL-topaz5_ecosmo-ARC-fv02.0.nc,False,
cmems_mod_arc_phy_anfc_6km_detided_P1D-m,202311,default,original-files,000 + The request was successful.,1,243.74546813964844,20210705_dm-metno-MODEL-topaz5-ARC-b20210712-fv02.0.nc,False,
cmems_mod_arc_phy_anfc_6km_detided_P1D-m,202311,default,wmts,000 + The request was successful.,1,243.74546813964844,20210705_dm-metno-MODEL-topaz5-ARC-b20210712-fv02.0.nc,False,
cmems_mod_arc_phy_anfc_6km_detided_P1M-m,202311,default,original-files,000 + The request was successful.,1,242.55340099334717,202111_mm-metno-MODEL-topaz5-ARC-fv02.0.nc,False,
cmems_mod_arc_phy_anfc_6km_detided_P1M-m,202311,default,wmts,000 + The request was successful.,1,242.55340099334717,202111_mm-metno-MODEL-topaz5-ARC-fv02.0.nc,False,
cmems_mod_arc_phy_anfc_6km_detided_PT1H-i,202311,default,original-files,000 + The request was successful.,1,372.27850914001465,20210705_hr-metno-MODEL-topaz5-ARC-b20210712-fv02.0.nc,False,
cmems_mod_arc_phy_anfc_6km_detided_PT1H-i,202311,default,wmts,000 + The request was successful.,1,372.27850914001465,20210705_hr-metno-MODEL-topaz5-ARC-b20210712-fv02.0.nc,False,
cmems_mod_arc_phy_anfc_6km_detided_PT6H-m,202311,default,original-files,000 + The request was successful.,1,245.67662143707275,20230901T03_6hm-metno-MODEL-topaz5-ARC-b20230901-fv02.0.nc,False,
cmems_mod_arc_phy_anfc_6km_detided_PT6H-m,202311,default,wmts,000 + The request was successful.,1,245.67662143707275,20230901T03_6hm-metno-MODEL-topaz5-ARC-b20230901-fv02.0.nc,False,
cmems_mod_arc_phy_anfc_nextsim_P1M-m,202311,default,original-files,000 + The request was successful.,1,72.97032928466797,201908_mm-nersc-MODEL-nextsimf-ARC-fv00.0.nc,False,
cmems_mod_arc_phy_anfc_nextsim_P1M-m,202311,default,wmts,000 + The request was successful.,1,72.97032928466797,201908_mm-nersc-MODEL-nextsimf-ARC-fv00.0.nc,False,
cmems_mod_arc_phy_anfc_nextsim_hm,202311,default,original-files,000 + The request was successful.,1,407.7334957122803,20190801_hr-nersc-MODEL-nextsimf-ARC-b20190802-fv00.0.nc,False,
cmems_mod_arc_phy_anfc_nextsim_hm,202311,default,wmts,000 + The request was successful.,1,407.7334957122803,20190801_hr-nersc-MODEL-nextsimf-ARC-b20190802-fv00.0.nc,False,
